,PacketTotalNum,DurationTime,PacketLenMean,PayloadLenMean,TimeGapMean
34361,5,677.2098400592804,84.0,22.0,169.3024600148201
34362,5,677.2099008560181,64.0,22.0,169.30247521400452
34363,5,67055.42435407639,84.0,22.0,16763.856088519096
34364,5,67055.42451691628,64.0,22.0,16763.85612922907
34365,5,1649.2873718738556,84.0,22.0,412.3218429684639
34366,5,1649.2873170375824,64.0,22.0,412.3218292593956
34367,4,-7601.933665037155,131.0,89.0,-2533.9778883457184
34368,1,0.0,75.0,33.0,0.0
34369,1,0.0,387.0,345.0,0.0
34370,1,0.0,79.0,37.0,0.0
34371,1,0.0,415.0,373.0,0.0
34372,1,0.0,75.0,33.0,0.0
34373,1,0.0,387.0,345.0,0.0
34374,1,0.0,79.0,37.0,0.0
34375,1,0.0,415.0,373.0,0.0
34376,1,0.0,75.0,33.0,0.0
34377,1,0.0,387.0,345.0,0.0
34378,5,66790.32020902634,84.0,22.0,16697.580052256584
34379,5,66790.32010817528,64.0,22.0,16697.58002704382
34380,5,1354.1503920555115,84.0,22.0,338.53759801387787
34381,5,1354.150158882141,64.0,22.0,338.5375397205353
34382,5,-9026.147279977798,84.0,22.0,-2256.5368199944496
34383,5,-9026.147364139557,64.0,22.0,-2256.536841034889
34384,5,74286.96934604645,84.0,22.0,18571.742336511612
34385,5,74286.9691669941,64.0,22.0,18571.742291748524
34386,5,74591.48521900177,64.0,22.0,18647.871304750443
34387,5,74591.48521018028,84.0,22.0,18647.87130254507
34388,4,-7601.933326005936,131.0,89.0,-2533.977775335312
34389,5,65727.59619808197,84.0,22.0,16431.899049520493
34390,5,65727.59585404396,64.0,22.0,16431.89896351099
34391,5,-8487.698688983917,64.0,22.0,-2121.9246722459793
34392,5,-8487.698839187622,84.0,22.0,-2121.9247097969055
34393,1,0.0,75.0,33.0,0.0
34394,1,0.0,387.0,345.0,0.0
34395,1,0.0,79.0,37.0,0.0
34396,1,0.0,415.0,373.0,0.0
34397,1,0.0,75.0,33.0,0.0
34398,1,0.0,387.0,345.0,0.0
34399,1,0.0,75.0,33.0,0.0
34400,1,0.0,387.0,345.0,0.0
34401,1,0.0,79.0,37.0,0.0
34402,1,0.0,415.0,373.0,0.0
34403,1,0.0,75.0,33.0,0.0
34404,1,0.0,387.0,345.0,0.0
34405,4,-7601.933974027634,131.0,89.0,-2533.9779913425446
34406,5,64455.31244087219,84.0,22.0,16113.828110218048
